id,dc.degree.name,Field,Department,College,dc.degree.discipline,dc.identifier.uri,dc.date.copyright,,,Comment
34070,Master of Science (M.S.),Environmental Health Management,Public Health,,Health and Human Sciences,http://hdl.handle.net/1957/29571,9/18/2001,Health and Human Sciences,2001,
35251,Master of Science (M.S.),Environmental Health Management,Public Health,,Health and Human Sciences,http://hdl.handle.net/1957/30995,4/24/2002,Health and Human Sciences,2002,
35103,Master of Science (M.S.),Environmental Health Management,Public Health,,Health and Human Sciences,http://hdl.handle.net/1957/30123,9/24/2002,Health and Human Sciences,2002,
36569,Master of Science (M.S.),Environmental Health Management,Public Health,,Health and Human Sciences,http://hdl.handle.net/1957/31527,2/12/2003,Health and Human Sciences,2003,
11690,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/9157,0,Health and Human Sciences,1904,
12343,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/9584,0,Health and Human Sciences,1904,
39950,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/34779,5/2/1995,Health and Human Sciences,1995,
36562,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/31528,1/10/2003,Health and Human Sciences,2003,
34905,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/30142,11/21/2003,Health and Human Sciences,2003,
34902,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/30135,12/3/2003,Health and Human Sciences,2003,
22691,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/18943,12/4/2003,Health and Human Sciences,2003,
34868,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/30051,3/4/2004,Health and Human Sciences,2004,
33524,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/28914,3/9/2004,Health and Human Sciences,2004,
24808,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/20898,4/5/2004,Health and Human Sciences,2004,
33506,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/29003,8/25/2004,Health and Human Sciences,2004,
26823,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/22999,6/8/2005,Health and Human Sciences,2005,
26915,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/22838,6/20/2005,Health and Human Sciences,2005,
